?cls	?def	?xrefs
<https://w3id.org/pmd/co/PMD_0050005>		
<https://w3id.org/pmd/co/PMD_0000014>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000229>	"Measurement method using visible light to analyse the property of a substance"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000577>	"that component of an applied normal stress which is in quadrature (90° out of phase) with the normal strain, divided by the strain"@en	
<https://w3id.org/pmd/co/PMD_0050029>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000578>	"Maß für die Steifigkeit unter definierten Bedingungen bei Verformung"@de	
<http://purl.obolibrary.org/obo/CHEBI_17514>	"A pseudohalide anion that is the conjugate base of hydrogen cyanide."@en	"PDBeChem:CYN PMID:14871577 Wikipedia:Cyanide CAS:57-12-5 Beilstein:1900509 KEGG:C00177 PMID:7839575 Gmelin:89 PMID:11386635 HMDB:HMDB0002084 MetaCyc:CPD-13584 PMID:17554165 Reaxys:1900509"
<https://w3id.org/pmd/co/PMD_0050072>		
<http://purl.obolibrary.org/obo/CHEBI_33377>	"A lanthanoid atom that has formula Dy."	
<http://purl.obolibrary.org/obo/BFO_0000018>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000559>	"Menge in Gramm an adsorbiertem Iod pro Kilogramm Ruß unter definierten Bedingungen"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000468>		
<https://w3id.org/pmd/co/PMD_0000583>		
<https://w3id.org/pmd/co/PMD_0001017>		
<https://w3id.org/pmd/co/PMD_0050096>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000341>	"machine with two counter-rotating rolls, frequently heated or cooled, usually driven at different speeds, and having an adjustable nip for mastication, mixing, blending, warm-up or sheeting"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000444>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000311>		
<http://purl.obolibrary.org/obo/CHEBI_25555>	"A pnictogen that has formula N."	
<https://w3id.org/pmd/co/PMD_0050006>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000487>	"state of vulcanization beyond the optimum cure"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000026>	"In physical testing, it refers to a constant increase or decrease of testing parameters such as deformation frequency, deformation amplitude or temperature."@en	
<http://purl.obolibrary.org/obo/CHEBI_35352>	"Any heteroorganic entity containing at least one carbon-nitrogen bond."@en	
<https://www.tib.eu/digitrubber#http://www.ebi.ac.uk/efo/EFO_0001702>	"Temperature is a physical quality of the thermal energy of a system."@en	
<https://w3id.org/pmd/co/PMD_0050071>		
<https://w3id.org/pmd/co/PMD_0000584>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000467>		
<https://w3id.org/pmd/co/PMD_0001016>		
<https://w3id.org/pmd/co/PMD_0000560>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000084>	"Rücksprache DIK"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000443>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000334>		
<https://w3id.org/pmd/co/PMD_0050095>		
